pig_id,flying,flyhour,kids6,kids18,age,educ,flywage,spouseage,spouseeduc,spousewage,faminc,taxrate,momeduc,dadeduc,exp,otherfaminc,logwage,expsq
28,1,1904,0,3,32,12,4.7269,33,13,8.5,26000,0.6615,3,7,9,16.99998,1.55327,81
29,1,1516,1,0,31,17,7.2559,30,17,6.2762,26100,0.6215,12,12,7,15.10006,1.981815,49
30,1,346,0,0,42,12,5.8671,47,10,5.2083,17730,0.7215,12,12,7,15.69998,1.76936,49
31,1,1040,0,0,50,11,1.5385,53,10,2.7821,6719,0.7515,7,7,32,5.11896,0.4308079,1024
32,1,732,0,0,59,16,2.459,57,17,4.9107,18550,0.6915,3,3,11,16.75001,0.8997548,121
33,1,1880,0,2,36,13,5.8511,35,13,5.8669,24600,0.6615,12,10,16,13.59993,1.76663,256
34,1,1680,0,1,51,12,3.5714,50,8,7.52,23100,0.6915,7,14,14,17.10005,1.272958,196
35,1,2081,0,3,45,16,3.8068,47,17,7.5449,24656,0.6615,12,12,27,16.73405,1.336789,729
36,1,690,0,1,42,11,2.4638,44,8,5.538,15897,0.7515,10,3,0,14.19698,0.9017048,0
37,1,4210,0,0,46,12,2.3753,49,16,6.9231,20320,0.6915,3,3,17,10.31999,0.8651237,289
38,1,2205,0,1,46,10,4.5351,52,12,5,21384,0.6615,10,3,28,11.3841,1.511847,784
39,1,1952,0,0,51,14,5.6183,58,12,7.3064,25561,0.6215,7,7,24,14.59408,1.726029,576
40,1,1302,0,0,30,17,14.631,30,17,11.218,36550,0.58,14,17,11,17.50044,2.683142,121
41,1,112,1,2,30,12,2.6786,33,16,3.8462,15810,0.7215,12,12,1,15.51,0.9852943,1
42,1,893,0,0,57,12,3.9194,58,12,5.8366,25500,0.6215,9,9,14,21.99998,1.365939,196
43,1,583,1,2,31,16,2.5729,34,16,13.725,24000,0.6615,14,16,6,22.5,0.9450337,36
44,1,480,0,2,48,12,4.5375,48,8,6.3493,22172,0.6615,3,3,10,19.994,1.512376,100
45,1,1900,0,3,30,12,2,32,12,5.2528,17930,0.7215,12,7,6,14.13,0.6931472,36
46,1,576,0,2,34,12,3.4722,33,12,1.3075,7000,0.7815,12,7,4,5.000013,1.244788,16
47,1,2056,0,2,48,16,2.0161,53,16,2.7998,25300,0.7215,14,16,10,21.1549,0.7011649,100
48,1,1984,0,0,45,12,4.5716,47,11,2.6961,16212,0.7215,10,10,22,7.141946,1.519863,484
49,1,2640,0,0,51,12,2.2727,50,13,7.5688,22650,0.6615,7,7,16,16.65007,0.8209686,256
50,1,240,0,2,30,12,2.6375,37,12,3.4077,6985,0.7815,12,7,6,6.352,0.9698315,36
51,1,1173,0,1,46,12,2.2899,46,12,6.5401,30000,0.6915,7,7,12,27.31395,0.8285082,144
52,1,3640,0,0,58,12,1.0989,58,12,7.2139,18500,0.6915,7,3,32,14.5,0.0943096,1024
53,1,340,0,8,37,12,1.1765,40,10,6.2732,16658,0.7515,12,7,15,16.25799,0.1625439,225
54,1,500,0,0,52,8,1.6,54,11,5.8824,10300,0.7515,7,7,17,9.5,0.4700036,289
55,1,1599,0,0,52,10,1.8762,47,4,3.8095,11000,0.7515,7,3,34,7.999956,0.6292484,1156
56,1,1830,0,0,31,16,4.0437,35,14,6.3776,19900,0.6915,12,12,9,12.50003,1.39716,81
57,1,1920,0,0,55,14,9.6354,55,15,6.0453,32500,0.64,7,7,37,14.00003,2.265444,1369
58,1,2052,0,0,34,17,8.0409,33,17,8.8119,37300,0.58,17,17,10,20.80007,2.084541,100
59,1,2312,0,0,55,14,4.599,56,16,8.8765,30018,0.5815,17,7,35,19.38511,1.525839,1225
60,1,196,0,2,39,12,2.1429,39,12,3.342,12807,0.7515,12,7,6,12.38699,0.7621601,36
61,1,2500,0,3,40,14,4.4,42,13,3.1836,39500,0.5515,14,3,19,28.5,1.481605,361
62,1,1980,0,4,43,12,3.5354,47,12,6.9149,22050,0.6915,12,12,10,15.04991,1.262826,100
63,1,1840,0,0,48,8,2.7174,56,8,5.5147,15500,0.7215,7,7,11,10.49998,0.9996756,121
64,1,320,0,0,47,12,6.25,47,12,5.2808,13810,0.7215,7,7,15,11.81,1.832582,225
65,1,419,0,4,41,12,11.933,44,12,3.2,11950,0.7515,7,7,12,6.950073,2.479308,144
66,1,1880,0,0,36,8,3.5931,37,12,5.8791,19175,0.6915,12,12,12,12.41997,1.279015,144
67,1,72,0,2,46,17,6.9444,48,17,6.25,17900,0.6915,12,16,14,17.4,1.937936,196
68,1,120,0,0,34,12,2.9167,51,8,7.4879,15850,0.7215,12,7,11,15.5,1.070453,121
69,1,1885,0,3,41,12,3.0769,48,8,6.9767,27017,0.6915,7,7,9,21.21704,1.123923,81
70,1,240,0,1,51,12,3.75,54,10,8,18900,0.6915,12,7,24,18,1.321756,576
71,1,1729,0,0,33,12,5.7259,34,16,4.1319,21800,0.6915,12,12,12,11.89992,1.745,144
72,1,1850,0,0,52,12,3.6757,53,12,14.476,33552,0.5515,10,10,13,26.75196,1.301744,169
73,1,2033,0,0,58,9,5.1648,53,7,5.7343,22650,0.6615,7,9,29,12.14996,1.641866,841
74,1,608,2,4,34,10,8.2237,38,9,3.3742,15200,0.7915,0,0,11,10.19999,2.10702,121
75,1,1153,0,1,31,12,4.3365,35,12,1.8333,13120,0.7215,7,10,13,8.120015,1.467068,169
76,1,2208,0,1,48,12,4.9819,52,12,5.6025,21660,0.6615,12,14,19,10.65996,1.605811,361
77,1,252,0,2,32,12,0.3571,32,12,4.2975,18190,0.7215,7,7,2,18.10001,-1.029739,4
78,1,337,0,0,49,17,2.9674,47,17,3.9161,9600,0.7515,3,3,24,8.599986,1.087686,576
79,1,90,2,2,32,15,1,31,14,4.8787,13755,0.7515,10,12,9,13.665,0,81
80,1,1174,0,0,58,12,2.5554,59,16,9.2402,35350,0.6615,7,12,6,32.34996,0.9382087,36
81,1,372,0,0,50,6,0.8602,42,12,6.6519,12405,0.7215,12,7,22,12.08501,-0.1505904,484
82,1,30,0,0,60,14,1,51,12,4.6217,12180,0.7515,12,17,30,12.15,0,900
83,1,1800,0,1,50,12,2.9261,55,11,9.9741,22962,0.6615,7,3,10,17.69502,1.073671,100
84,1,282,0,0,56,14,3.5461,57,17,20.918,25700,0.6215,7,7,6,24.7,1.265848,36
85,1,720,0,0,51,9,1.6264,55,8,1.94,3305,0.7915,7,7,29,2.133992,0.486369,841
86,1,1440,0,1,54,17,8.3333,58,17,8.8351,32950,0.5815,7,12,29,20.95005,2.12026,841
87,1,2100,0,0,59,13,3.0952,52,15,4.6667,17000,0.6915,7,7,36,10.50008,1.129853,1296
88,1,1000,0,2,46,9,2.7,47,10,5.1894,13250,0.7515,7,7,19,10.55,0.9932518,361
89,1,952,0,1,46,15,5.2521,47,16,18.724,50750,0.4415,7,12,8,45.75,1.658628,64
90,1,1413,1,3,39,12,1.4154,49,8,10.417,15632,0.7715,10,10,13,13.63204,0.3474122,169
91,1,2100,0,2,44,12,4.7986,43,14,8.8458,28316,0.6215,7,0,16,18.23894,1.568324,256
92,1,120,2,0,33,12,1.6667,36,12,7.569,17290,0.7215,12,12,11,17.09,0.5108456,121
93,1,3000,1,2,33,12,1.1217,30,17,4.4507,33600,0.6215,10,10,15,30.2349,0.1148454,225
94,1,1000,0,2,48,12,0.5,52,12,9.3204,29200,0.6215,12,7,6,28.7,-0.6931472,36
95,1,336,0,4,31,12,0.7143,37,17,9.1687,19870,0.6915,7,7,13,19.63,-0.3364523,169
96,1,1216,0,1,45,12,2.7961,44,12,6.4834,16225,0.7215,7,7,22,12.82494,1.028226,484
97,1,988,0,1,45,12,4.8583,44,10,7.8125,28600,0.6915,7,3,24,23.8,1.580689,576
98,1,2581,0,2,32,13,1.7435,37,17,11.404,30800,0.5815,14,12,2,26.30003,0.5558946,4
99,1,2030,0,0,47,12,2.4631,47,17,5.087,25700,0.6915,7,7,6,20.69991,0.9014207,36
100,1,413,0,2,34,13,2.4213,35,13,6.9758,27000,0.6215,12,12,2,26,0.8843046,4
101,1,782,0,1,37,12,1.5345,34,10,5.2863,12077,0.7715,12,7,2,10.87702,0.4282046,4
102,1,1388,0,1,36,12,2.8818,39,12,11.562,29612,0.6615,7,7,14,25.61206,1.058415,196
103,1,1450,1,2,47,12,2.4069,50,14,8.6061,24479,0.6915,7,10,9,20.98899,0.8783396,81
104,1,1720,0,1,48,16,5.2326,46,17,12.805,79750,0.4415,14,14,11,70.74993,1.654908,121
105,1,800,0,2,42,12,3.75,43,12,6.6946,20050,0.6915,12,7,9,17.05,1.321756,81
106,1,360,0,3,33,13,1.3889,44,14,8.3333,21500,0.6915,10,12,6,21,0.3285121,36
107,1,2000,0,0,46,11,4,53,8,4.1667,16120,0.6915,7,7,19,8.12,1.386294,361
108,1,1176,0,3,47,12,3.2313,48,13,5.4759,24686,0.7215,7,7,26,20.88599,1.172885,676
109,1,2058,0,1,44,12,3.4014,43,10,5.144,24669,0.6915,7,10,19,17.66892,1.224187,361
110,1,900,0,4,36,12,1.3333,37,17,11.667,26400,0.6615,7,7,3,25.20003,0.2876571,9
111,1,215,2,0,31,17,9.3023,32,16,7.2917,16245,0.7215,12,12,7,14.24501,2.230262,49
112,1,2000,0,0,55,14,4.5,55,14,4.8611,23300,0.6615,7,7,28,14.3,1.504077,784
113,1,757,0,1,45,16,4.6235,48,16,12.164,27200,0.6215,12,7,13,23.70001,1.531152,169
114,1,1264,0,0,47,17,3.9557,48,17,10.823,51000,0.4615,10,17,9,46,1.375158,81
115,1,2064,0,3,46,12,5.814,47,12,12.478,55000,0.4615,10,7,15,42.9999,1.760269,225
116,1,1280,0,0,49,11,0.5,52,9,6.162,15389,0.7215,7,7,20,14.749,-0.6931472,400
117,1,1715,0,0,49,12,4.0816,52,14,7.1846,23150,0.6615,7,7,29,16.15005,1.406489,841
118,1,2000,0,2,45,12,6,49,6,7.093,29774,0.6215,7,10,9,17.774,1.791759,81
119,1,12,1,3,38,17,3.6667,38,13,17.826,91044,0.4415,12,10,1,91,1.299292,1
120,1,1528,0,0,47,10,3.8613,50,12,6.393,28200,0.5815,7,12,8,22.29993,1.351004,64
121,1,561,0,3,54,13,2.7629,57,16,11.719,36150,0.5515,7,7,19,34.60001,1.016281,361
122,1,2058,0,0,41,11,2.931,42,12,4.7883,15652,0.7215,12,12,23,9.620002,1.075344,529
123,1,1823,0,2,43,12,4.3884,33,14,4.2328,18900,0.7515,14,7,3,10.89995,1.478965,9
124,1,1680,1,1,31,16,5.4167,32,12,7.1066,23600,0.6615,12,10,13,14.49994,1.689487,169
125,1,1440,0,0,47,17,9.8611,46,12,8.3333,36200,0.61,7,7,8,22.00002,2.288598,64
126,1,4950,0,2,35,12,0.1616,37,12,6.9888,18700,0.6915,10,10,17,17.90008,-1.822631,289
127,1,1176,0,3,45,16,0.3826,48,17,9.5913,24125,0.6615,7,7,4,23.67506,-0.9607652,16
128,1,1100,1,0,33,12,3.6364,39,12,6.0204,15800,0.7215,7,7,15,11.79996,1.290994,225
129,1,1516,0,1,54,16,2.3747,55,12,2.9686,19742,0.7215,12,7,11,16.14195,0.8648711,121
130,1,900,0,4,35,8,4.6667,41,12,7,22600,0.6915,10,7,7,18.39997,1.540452,49
131,1,1080,1,2,31,12,1.8519,37,10,7.1627,17500,0.7215,7,7,0,15.49995,0.6162121,0
132,1,480,0,0,55,12,5.2,60,12,4.7364,19820,0.6915,7,7,0,17.324,1.648659,0
133,1,288,0,2,34,12,3.2986,36,12,8.781,20155,0.6915,12,16,10,19.205,1.193498,100
134,1,1875,0,1,38,13,8.5333,41,12,9.8315,37300,0.58,10,12,8,21.30006,2.143976,64
135,1,630,0,1,45,11,2.0635,51,10,6.6496,24860,0.7215,7,7,2,23.56,0.7244036,4
136,1,234,0,1,47,12,2.5641,48,10,9.8485,21450,0.6615,12,3,4,20.85,0.9416075,16
137,1,1600,0,2,39,12,2.1875,42,11,9.8039,29650,0.6215,7,7,6,26.15,0.7827594,36
138,1,960,1,0,36,14,6.25,37,13,8.2604,23000,0.6615,7,7,18,17,1.832582,324
139,1,120,1,2,33,12,3.3333,32,14,9.0676,21120,0.6915,7,7,3,20.72,1.203963,9
140,1,2025,0,0,50,12,4.4444,54,13,8.5082,26000,0.6215,7,12,22,17.00009,1.491645,484
141,1,1809,0,0,58,12,6.6335,59,14,7.1565,28000,0.6215,3,7,33,16,1.892133,1089
142,1,3087,0,0,49,17,8.4224,47,13,7.0423,45500,0.52,12,12,28,19.50005,2.130895,784
143,1,910,0,2,41,14,4.3956,40,17,6.5934,16000,0.7215,16,12,23,12,1.480604,529
144,1,1840,0,1,51,12,2.4457,53,8,4.3457,18232,0.6915,7,14,27,13.73191,0.8943313,729
145,1,784,0,0,53,9,1.2245,60,10,7.2362,28160,0.7215,3,7,11,27.19999,0.2025325,121
146,1,400,1,2,36,12,1.625,40,7,1.74,5965,0.8015,12,7,6,5.315,0.4855078,36
147,1,1000,0,2,46,12,3,46,12,6.8966,19000,0.7215,7,7,11,16,1.098612,121
148,1,1904,0,2,36,12,4.7269,37,12,5.0455,36872,0.5515,12,12,14,27.87198,1.55327,196
149,1,1771,0,1,53,14,1.1293,48,16,17.25,42000,0.4915,12,12,17,40.00001,0.121598,289
150,1,1486,0,3,40,16,7.4024,54,16,8.3333,26900,0.6215,16,14,17,15.90003,2.001804,289
151,1,740,0,2,42,17,4.4595,45,16,9.375,30800,0.5815,12,10,14,27.49997,1.495037,196
152,1,1820,1,1,33,15,2.4725,32,16,8.279,21520,0.6915,12,12,11,17.02005,0.9052298,121
153,1,1275,0,3,43,12,1.8824,47,14,4.5,24795,0.6915,7,7,7,22.39494,0.6325476,49
154,1,450,1,0,31,16,4,30,16,4.1995,12900,0.7215,14,16,8,11.1,1.386294,64
155,1,1221,0,0,47,17,8.19,47,16,16.064,42700,0.4915,7,7,6,32.70001,2.102914,36
156,1,1550,0,0,54,17,7.0968,58,17,11.277,38800,0.5215,10,17,8,27.79996,1.959644,64
157,1,180,1,3,33,12,1.6667,33,11,0.5494,2500,0.9415,7,3,4,2.199994,0.5108456,16
158,1,2090,0,0,43,16,3.445,47,14,9.548,26921,0.6215,14,10,25,19.72095,1.236924,625
159,1,1960,0,1,46,13,4.2347,49,13,5.3333,18300,0.6915,7,9,24,9.999988,1.443313,576
160,1,1440,0,3,35,12,2.7778,38,9,5.4545,17200,0.7215,7,7,11,13.19997,1.021659,121
161,1,794,0,3,37,11,1.8892,39,12,5.9026,14209,0.7515,12,3,19,12.70897,0.6361535,361
162,1,993,0,2,37,16,5.0352,39,17,9.8576,32300,0.5815,12,16,9,27.30005,1.616453,81
163,1,160,0,3,34,14,1.25,38,14,11.685,21400,0.7215,17,12,19,21.2,0.2231435,361
164,1,105,1,0,43,16,2.8571,44,17,6.2278,14700,0.7215,7,7,14,14.4,1.049807,196
165,1,1200,0,0,46,12,4.1167,48,12,9.1748,25516,0.6215,7,7,22,20.57596,1.415052,484
166,1,450,0,3,35,9,1.7778,42,12,6.2972,13300,0.7515,3,7,6,12.49999,0.5753766,36
167,1,996,0,0,46,17,13.554,59,17,10.471,31000,0.5815,12,12,23,17.50022,2.606682,529
168,1,1052,0,0,46,14,4.5627,48,16,14.583,48800,0.4915,7,3,15,44.00004,1.517915,225
169,1,1128,0,2,43,12,2.1277,46,10,6.2143,15519,0.7215,7,7,6,13.11895,0.7550416,36
170,1,1840,0,0,30,12,2.9891,30,12,6.6288,19500,0.6915,7,7,11,14.00006,1.094972,121
171,1,1910,0,2,41,11,2.5654,46,9,3.8246,14545,0.7215,3,7,2,9.645086,0.9421144,4
172,1,980,0,1,54,12,5.6122,54,15,7.8125,22897,0.6915,7,7,22,17.39705,1.724943,484
173,1,2317,0,1,31,12,2.8054,41,9,3.4806,14300,0.7215,10,10,10,7.799889,1.031546,100
174,1,1089,0,0,44,10,1.607,47,11,5.55,14884,0.7515,10,10,14,13.13398,0.4743691,196
175,1,800,0,1,32,12,2.25,31,16,11.594,27400,0.6215,12,7,12,25.6,0.8109302,144
176,1,1230,0,0,47,5,2.0325,53,5,9.5238,16400,0.7215,7,12,9,13.90003,0.7092666,81
177,1,1158,0,1,46,17,5.532,57,17,7.2805,25704,0.6215,14,17,13,19.29794,1.710549,169
178,1,2272,0,0,37,11,1.5845,47,8,3,12800,0.7215,10,10,18,9.200016,0.4602689,324
179,1,528,0,2,51,12,3.7879,50,11,10.4,40000,0.6215,7,7,8,37.99999,1.331812,64
180,1,1000,0,1,49,12,3,49,12,10.05,47000,0.6615,7,7,11,44,1.098612,121
181,1,520,0,4,36,14,8.6538,37,13,8.7866,25872,0.6615,10,12,9,21.37202,2.157999,81
182,1,760,0,1,39,11,4.2105,44,12,10.14,26868,0.6915,12,7,9,23.66802,1.437581,81
183,1,1920,0,2,48,12,4.6875,50,8,5,18000,0.6915,12,12,14,9,1.544899,196
184,1,1220,0,2,38,14,4.0984,43,17,11.888,30200,0.5815,7,7,9,25.19995,1.410597,81
185,1,200,0,2,40,12,25,42,12,13.333,26220,0.6615,7,7,2,21.22,3.218876,4
186,1,2480,1,5,39,10,2.6331,36,17,8.6806,40500,0.5815,7,7,12,33.96991,0.9681619,144
187,1,2750,0,0,37,16,6,43,17,7.2917,33570,0.61,12,7,15,17.07,1.791759,225
188,1,2014,0,1,49,13,5.4126,47,12,3.5242,16917,0.7215,7,14,11,6.016024,1.68873,121
189,1,1355,0,3,33,12,0.6642,35,17,6.1818,18000,0.7215,12,7,7,17.10001,-0.409172,49
190,1,80,0,0,30,12,1.25,32,16,2.9755,8337,0.7515,12,12,9,8.237,0.2231435,81
191,1,1670,0,0,54,12,2.2754,56,8,4.5769,17100,0.7215,12,7,19,13.30008,0.8221558,361
192,1,520,0,4,39,11,3.4615,40,12,3.1056,17800,0.7515,10,7,11,16.00002,1.241702,121
193,1,288,0,3,43,12,4.1667,43,12,5.8228,13740,0.7515,12,12,8,12.53999,1.427124,64
194,1,2014,0,3,31,9,4.4687,32,12,7.5,27000,0.6215,10,3,13,18.00004,1.497097,169
195,1,800,0,3,33,13,1.75,37,14,8.3333,32600,0.6215,12,7,4,31.2,0.5596158,16
196,1,1984,0,3,40,12,3.6694,39,14,9.2347,28030,0.6615,12,12,7,20.74991,1.300028,49
197,1,1823,0,1,36,12,6.5826,39,9,5.5,23100,0.6615,12,12,19,11.09992,1.88443,361
198,1,1500,0,0,51,12,2.6,51,12,6,24580,0.6615,7,7,14,20.68,0.9555114,196
199,1,2261,0,1,44,13,4.8651,43,12,6.6667,29000,0.6215,12,7,14,18.00001,1.582087,196
200,1,1728,0,3,42,16,5.787,48,14,13.061,42430,0.5215,12,14,3,32.43007,1.755614,9
201,1,1960,0,1,40,12,4.5408,40,8,12.794,41800,0.5215,12,12,9,32.90003,1.513103,81
202,1,1578,1,1,34,16,9.5057,33,16,12,39100,0.58,12,17,7,24.10001,2.251892,49
203,1,1316,0,0,30,17,10.638,41,16,6.73,31800,0.5815,16,17,7,17.80039,2.364432,49
204,1,1530,0,0,54,12,1.1111,53,12,6.679,22200,0.6915,7,7,14,20.50002,0.1053505,196
205,1,2220,0,0,51,12,4.0541,54,12,4.3945,19500,0.6915,16,7,29,10.4999,1.399729,841
206,1,1336,0,2,44,9,2.6871,46,11,4.6875,14027,0.7515,7,10,19,10.43703,0.9884625,361
207,1,1008,0,1,43,12,2.9762,42,9,7.6989,21195,0.6615,7,7,14,18.19499,1.090647,196
208,1,1944,0,1,34,12,3.1728,37,8,4.3287,19013,0.6915,10,7,16,12.84508,1.154614,256
209,1,2000,0,0,45,13,3.55,52,12,6.7416,20900,0.6615,12,7,10,13.8,1.266948,100
210,1,258,0,0,39,12,17.907,47,7,9.3525,26820,0.6215,10,3,12,22.2,2.885192,144
211,1,1785,0,0,50,12,3.4174,48,10,9.1429,12800,0.7515,0,0,24,6.699941,1.22888,576
212,1,480,0,0,52,12,3.3333,53,12,2.6418,7850,0.7515,7,7,6,6.250016,1.203963,36
213,1,772,0,2,41,12,3.886,45,12,7.365,18600,0.7215,12,12,9,15.60001,1.35738,81
214,1,900,0,0,59,10,2.3111,59,7,1.4066,5380,0.7715,12,7,14,3.30001,0.8377236,196
215,1,1428,0,0,52,12,1.7108,60,8,1.5192,6114,0.7715,10,7,26,3.670978,0.5369611,676
216,1,210,0,0,46,16,2.1143,49,12,3.3439,8234,0.7515,12,12,7,7.789997,0.7487238,49
217,1,239,1,5,41,12,9.9331,48,16,2.9106,20646,0.7215,3,7,4,18.27199,2.295873,16
218,1,1878,0,2,33,11,3.0277,35,8,4.3834,16640,0.7215,7,7,15,10.95398,1.107803,225
219,1,215,0,0,45,12,1.8605,38,12,4.2098,13900,0.7215,12,12,23,13.49999,0.6208453,529
220,1,2340,1,2,36,10,0.1282,37,8,3.7129,11500,0.7815,10,7,1,11.20001,-2.054164,1
221,1,1960,0,1,48,12,6.6327,56,10,10.606,34000,0.5515,7,7,29,20.99991,1.892012,841
222,1,532,0,1,47,12,5.6391,47,11,8.6382,28700,0.6615,7,3,9,25.7,1.729725,81
223,1,394,0,0,45,12,1.599,45,12,3.8367,9563,0.7515,7,7,6,8.932994,0.4693784,36
224,1,675,0,2,37,12,2.6667,48,17,7.1671,20960,0.6915,7,7,11,19.15998,0.9808417,121
225,1,1515,0,4,46,16,7.9208,49,14,8.8634,38590,0.6215,12,10,17,26.58999,2.069492,289
226,1,1030,0,3,43,17,5.3398,46,16,7.7369,27900,0.6615,12,12,6,22.40001,1.675188,36
227,1,1250,0,2,42,12,4,46,17,9.1702,25633,0.6215,7,7,7,20.633,1.386294,49
228,1,1158,1,2,34,17,6.0449,39,17,11.29,35200,0.5515,12,12,2,28.20001,1.799215,4
229,1,112,0,0,52,12,6.25,53,12,6.3269,29500,0.5815,7,7,24,28.8,1.832582,576
230,1,336,0,3,37,12,2.9762,52,9,4.7468,10000,0.7515,10,7,4,8.999997,1.090647,16
231,1,1984,0,1,37,12,4.2339,40,12,4.8885,19800,0.6915,10,7,11,11.39994,1.443124,121
232,1,716,0,0,52,8,3.4916,59,7,2.4842,12900,0.7215,7,7,25,10.40001,1.25036,625
233,1,1410,1,0,30,12,4.9645,30,14,8.547,26080,0.6215,12,12,11,19.08006,1.602313,121
234,1,1300,0,1,31,13,2.7692,32,12,6.6379,13066,0.7515,17,7,2,9.46604,1.018559,4
235,1,1640,0,1,38,12,3.6585,46,12,3.1863,12500,0.7215,7,7,19,6.50006,1.297053,361
236,1,1202,0,3,43,12,5.3935,48,16,4.5466,35600,0.5815,7,7,7,29.11701,1.685194,49
237,1,489,0,1,49,8,0.6564,51,8,12.789,19424,0.7515,7,7,2,19.10302,-0.4209849,4
238,1,2076,0,0,55,12,4.7688,58,10,6.528,26250,0.6615,7,7,20,16.34997,1.562095,400
239,1,526,0,2,38,17,8.5551,42,17,16.403,36525,0.5515,12,14,10,32.02502,2.146528,100
240,1,1721,0,0,52,17,10.459,56,16,7,34700,0.61,14,17,19,16.70006,2.347463,361
241,1,1327,0,0,48,12,2.6375,51,11,13.542,8311,0.7515,7,7,17,4.811038,0.9698315,289
242,1,584,0,2,32,13,6.8493,33,12,6.713,28626,0.6915,12,10,12,24.62601,1.924146,144
243,1,1376,0,1,32,12,5.0872,33,17,5.4487,24400,0.6615,7,7,11,17.40001,1.626728,121
244,1,1040,0,2,38,12,0.9615,41,17,6.6872,14025,0.7215,7,7,6,13.02504,-0.0392607,36
245,1,548,0,3,46,12,4.3066,47,12,9.0943,21367,0.6915,16,12,10,19.00698,1.460149,100
246,1,15,0,3,40,12,7.0667,42,9,6.5337,14136,0.7515,7,7,4,14.03,1.955394,16
247,1,1980,0,4,31,9,2.5253,36,10,4.686,19900,0.7515,10,7,2,14.89991,0.9263599,4
248,1,1520,0,1,43,10,7.8947,50,12,8,37000,0.5215,12,9,13,25.00006,2.066192,169
249,1,1880,0,0,51,12,4.1489,51,12,4.053,18500,0.6915,7,7,21,10.70007,1.422843,441
250,1,1260,1,0,30,16,8.1746,34,17,8.1633,34550,0.5515,16,14,9,24.25,2.101032,81
251,1,1092,0,0,52,13,9.5971,53,15,16.5,49620,0.4615,10,7,4,39.13997,2.261461,16
252,1,1587,1,5,30,8,2.0164,33,8,3.4615,10400,0.7815,3,3,2,7.199973,0.7013138,4
253,1,156,0,0,51,16,7.6218,51,16,11.361,33000,0.5515,16,16,19,31.811,2.031013,361
254,1,1939,0,2,31,13,3.1975,31,12,3.8911,16200,0.7215,7,3,4,10.00005,1.162369,16
255,1,1250,0,4,34,12,1.6,52,12,9.6059,22660,0.6915,12,16,9,20.66,0.4700036,81
256,1,610,0,0,49,11,4.0984,59,17,2.6687,16000,0.7215,7,7,14,13.49998,1.410597,196
